name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangladesh,1/11/2015,71.6,54.9,61.4,71.6,54.9,61.4,52.9,75.7,0,0,0,,0,0,16.6,9.2,308.9,1016,45,1.2,196.4,16.9,7,,2015-01-11T06:42:46,2015-01-11T17:29:36,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,1/12/2015,75.2,55.2,62.9,75.2,55.2,62.9,53.2,73.1,0,0,0,,0,0,13.2,8.1,327.1,1015,42,1.4,194.6,16.8,7,,2015-01-12T06:42:51,2015-01-12T17:30:19,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/13/2015,77,53.6,64.4,77,53.6,64.4,56.1,77,0,0,0,,0,0,9.8,6.9,288.9,1014.1,53.2,1.3,190.4,16.4,7,,2015-01-13T06:42:54,2015-01-13T17:31:02,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/14/2015,80.6,58.8,67.4,81.8,58.8,67.4,59.1,76.5,0,0,0,,0,0,11.4,6.9,312.5,1014.4,20.5,1.4,192.7,16.7,7,,2015-01-14T06:42:56,2015-01-14T17:31:46,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/15/2015,80.6,58.2,67.7,80.3,58.2,67.7,57.4,72.1,0,0,0,,0,0,12.3,8.3,282,1014.1,17.3,1.6,195.5,17,7,,2015-01-15T06:42:56,2015-01-15T17:32:29,0.83,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,1/16/2015,84.2,58.8,70.1,82.2,58.8,69.9,55.1,62.2,0,0,0,,0,0,12.8,6.9,254.9,1013.8,25.4,2.1,165.7,14.4,6,,2015-01-16T06:42:55,2015-01-16T17:33:13,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/17/2015,73.4,62.4,66.7,73.4,62.4,66.7,59.2,77.4,0.165,100,45.83,rain,0,0,18.6,13.9,312.9,1013.4,78.9,2,125.9,10.8,5,,2015-01-17T06:42:52,2015-01-17T17:33:57,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/18/2015,64.4,55.2,59.6,64.4,55.2,59.6,55.8,87.4,0.004,100,4.17,rain,0,0,15.4,11.4,294.5,1014.9,84.9,0.7,162.5,14.1,7,,2015-01-18T06:42:48,2015-01-18T17:34:41,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/19/2015,62.6,57,59.4,62.6,57,59.4,55.6,87.5,0.008,100,8.33,rain,0,0,11.6,6.9,314.7,1015.6,89.3,0.7,155.6,13.4,7,,2015-01-19T06:42:43,2015-01-19T17:35:25,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/20/2015,66.3,56.8,59.8,66.3,56.8,59.8,54.3,82.1,0.004,100,4.17,rain,0,0,14.3,16.7,322.9,1017.4,55.6,0.9,170,14.8,7,,2015-01-20T06:42:36,2015-01-20T17:36:08,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/21/2015,73.4,55.2,62,73.4,55.2,62,55.6,81.2,0,0,0,,0,0,11,6.9,305.1,1018.4,54.5,0.6,197.9,17.1,7,,2015-01-21T06:42:28,2015-01-21T17:36:52,0.02,Partially cloudy,Clearing in the afternoon.,fog,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/22/2015,77,56.9,66.5,77,56.9,66.5,56.8,74.1,0,0,0,,0,0,8.9,9.2,263.8,1017.2,42.7,1.4,166.4,14.2,7,,2015-01-22T06:42:18,2015-01-22T17:37:36,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/23/2015,82.4,58.7,68.9,82.9,58.7,68.9,56.9,67.8,0,0,0,,0,0,10.7,6.9,298.4,1014.5,4.7,1.8,186.5,16,7,,2015-01-23T06:42:07,2015-01-23T17:38:19,0.09,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/24/2015,82.2,60.4,68.8,81.9,60.4,68.8,55.9,65.2,0,0,0,,0,0,11.4,5.8,301,1015.4,0.2,2.1,201.5,17.4,7,,2015-01-24T06:41:55,2015-01-24T17:39:02,0.13,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/25/2015,78.9,61.9,69.1,78.9,61.9,69.1,55.9,64.7,0,0,0,,0,0,15.9,11.4,305.5,1016.9,3.7,2,206.2,17.7,8,,2015-01-25T06:41:41,2015-01-25T17:39:46,0.16,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/26/2015,78.8,58.6,68.8,78.8,58.6,68.8,53.6,60.9,0,0,0,,0,0,13.4,10.5,311.3,1016.3,15.1,2.1,207.2,17.8,8,,2015-01-26T06:41:25,2015-01-26T17:40:29,0.2,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/27/2015,79.4,60.8,69.5,79.4,60.8,69.5,55.3,62.5,0,0,0,,0,0,15.4,11.4,300.9,1014.3,9,2.1,202.2,17.5,7,,2015-01-27T06:41:09,2015-01-27T17:41:11,0.25,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/28/2015,80.6,62.3,70.4,80.3,62.3,70.4,57.1,65.1,0,0,0,,0,0,14.8,11.4,308.7,1013.4,14.5,1.9,199.8,17.2,7,,2015-01-28T06:40:51,2015-01-28T17:41:54,0.27,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/29/2015,82.4,64.4,71.2,82.1,64.4,71.2,57.6,63.8,0,0,0,,0,0,19.9,18.3,342.8,1014.4,27.2,2,181.6,15.7,7,,2015-01-29T06:40:31,2015-01-29T17:42:36,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,1/30/2015,75.2,64,68.1,75.2,64,68.1,57.8,70.2,0.004,100,4.17,rain,0,0,18.1,12.8,317.3,1015.3,50.9,2.1,128.6,11.3,7,,2015-01-30T06:40:11,2015-01-30T17:43:18,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/31/2015,75.2,57.2,65.7,75.2,57.2,65.7,50.8,61,0,0,0,,0,0,13.6,9.2,326.8,1016.5,2.9,2.1,210.8,18.2,7,,2015-01-31T06:39:48,2015-01-31T17:44:00,0.37,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/1/2015,82.4,55.4,65,80.6,55.4,64.9,49.6,60.3,0,0,0,,0,0,16.1,11.4,298.3,1016,9.9,2,215.7,18.6,8,,2015-02-01T06:39:25,2015-02-01T17:44:41,0.41,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,2/2/2015,80.7,56.6,66.9,79.6,56.6,66.9,50.4,58.7,0,0,0,,0,0,12.5,9.2,332.2,1017.1,0,2,216.4,18.6,8,,2015-02-02T06:39:00,2015-02-02T17:45:22,0.44,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,remote,41922099999,41939099999,41909099999"
bangladesh,2/3/2015,83.4,60.2,70.4,81.2,60.2,70.1,53.4,58.3,0,0,0,,0,0,11,8.1,322.2,1018.4,4.9,2,217,18.7,8,,2015-02-03T06:38:34,2015-02-03T17:46:02,0.48,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,2/4/2015,82.6,59,70.3,81,59,70.1,54,59.3,0,0,0,,0,0,12.3,6.9,283.3,1016.6,21.2,2.2,216.2,18.7,8,,2015-02-04T06:38:07,2015-02-04T17:46:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,remote,41922099999,41939099999,41909099999"
bangladesh,2/5/2015,81.9,60.8,71.7,80.7,60.8,71.7,54.9,58.2,0,0,0,,0,0,10.1,6.9,346.1,1015.7,15.1,2.1,198.1,17,7,,2015-02-05T06:37:39,2015-02-05T17:47:22,0.54,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,remote,41922099999,41939099999,41909099999"
bangladesh,2/6/2015,80.6,63.8,70.6,79.6,63.8,70.5,52.7,55.1,0,0,0,,0,0,15.2,9.2,324.9,1015.6,16.5,2.3,200.2,17.4,8,,2015-02-06T06:37:09,2015-02-06T17:48:02,0.58,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/7/2015,78.9,57.2,67.7,78.9,57.2,67.7,54.1,64.1,0,0,0,,0,0,12.5,9.2,305.8,1014.9,27.8,1.8,219.5,18.9,8,,2015-02-07T06:36:38,2015-02-07T17:48:41,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/8/2015,78.9,60.3,69.1,78.9,60.3,69.1,56.1,66.1,0,0,0,,0,0,11.4,9.2,306.1,1014.4,15.2,1.7,213.1,18.6,8,,2015-02-08T06:36:06,2015-02-08T17:49:19,0.64,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/9/2015,80.6,61.9,70.9,80.5,61.9,70.9,56.2,61.7,0,0,0,,0,0,14.5,9.2,318.7,1015.6,7.1,2.1,218.4,18.9,8,,2015-02-09T06:35:33,2015-02-09T17:49:57,0.68,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/10/2015,82.4,62.6,71.8,81.8,62.6,71.8,56.3,60.6,0,0,0,,0,0,16.1,11.4,312.4,1016.2,32.5,2,198,17.1,7,,2015-02-10T06:34:58,2015-02-10T17:50:35,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/11/2015,80.6,62.4,70.5,79.9,62.4,70.5,53.8,58,0,0,0,,0,0,15,11.4,307.4,1014.6,31.2,2.2,221.4,19.2,8,,2015-02-11T06:34:22,2015-02-11T17:51:12,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/12/2015,80.6,60.1,69.8,79.7,60.1,69.8,51.2,55.4,0,0,0,,0,0,15.2,11.4,289.3,1013,2.5,2,227.9,19.5,8,,2015-02-12T06:33:46,2015-02-12T17:51:49,0.75,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/13/2015,80.7,61.8,70.1,80.3,61.8,69.9,53,57.4,0,0,0,,0,0,12.1,9.2,301,1011.3,12.3,2,208.5,18,7,,2015-02-13T06:33:08,2015-02-13T17:52:25,0.81,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/14/2015,80.7,60.8,70.4,79.6,60.8,70.3,52.8,57.1,0,0,0,,0,0,15,8.1,83.1,1011.3,6.5,2.1,208.1,17.9,8,,2015-02-14T06:32:29,2015-02-14T17:53:01,0.84,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,2/15/2015,78.8,64.4,71.6,78.8,64.4,71.6,56.5,60.5,0.016,100,4.17,rain,0,0,19.5,9.2,95,1011.6,54.2,2.3,191.2,16.4,7,,2015-02-15T06:31:49,2015-02-15T17:53:37,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/16/2015,80.7,64.4,72.3,79.9,64.4,72.3,55.5,57.6,0,0,0,,0,0,14.3,9.2,57.3,1013.4,14,2.2,217.5,18.8,8,,2015-02-16T06:31:08,2015-02-16T17:54:12,0.91,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/17/2015,86,60.2,73.4,83.4,60.2,73.1,56.5,58.6,0,0,0,,0,0,11.9,11.4,14.1,1011.9,4.5,2.2,213.3,18.3,8,,2015-02-17T06:30:26,2015-02-17T17:54:46,0.94,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,remote,41922099999,41939099999,41909099999"
bangladesh,2/18/2015,83.4,66.4,74.6,83.2,66.4,74.6,60.7,63.2,0.008,100,8.33,rain,0,0,13.9,11.4,85.8,1011.2,52,1.9,196.5,16.9,8,,2015-02-18T06:29:43,2015-02-18T17:55:20,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,2/19/2015,77,64.4,69.6,77,64.4,69.6,60.9,74.7,0.3,100,16.67,rain,0,0,17.4,13.9,49.5,1012.5,75.8,2.2,138.9,12,6,,2015-02-19T06:29:00,2015-02-19T17:55:54,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,2/20/2015,83.6,65.8,73.7,86,65.8,74.1,62.7,69.6,0,0,0,,0,0,13.6,6.9,55,1013.1,42.3,2.2,201,17.5,8,,2015-02-20T06:28:15,2015-02-20T17:56:27,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,remote,41922099999,41939099999,41909099999"
bangladesh,2/21/2015,84.2,67.2,75.7,85,67.2,76,63.8,68.3,0.012,100,8.33,rain,0,0,18.1,9.2,168.8,1011.4,39.1,2,203.2,17.5,7,,2015-02-21T06:27:29,2015-02-21T17:56:59,0.08,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,2/22/2015,86.1,67.6,75.5,87.7,67.6,76.1,65.7,72.7,0.012,100,12.5,rain,0,0,17.9,11.4,107,1012,36,2.1,206.4,17.7,8,,2015-02-22T06:26:43,2015-02-22T17:57:31,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41941099999,41923099999,41929099999,remote,41922099999,41939099999,41909099999"
bangladesh,2/23/2015,89.6,68.8,78,89,68.8,78.5,64.1,64.7,0,0,0,,0,0,10.5,8.1,118.5,1012.3,31.3,2.3,219.4,18.9,8,,2015-02-23T06:25:56,2015-02-23T17:58:03,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,remote,41922099999,41939099999,41909099999"
bangladesh,2/24/2015,87.8,69,77.6,86.7,69,77.6,64,65.7,0,0,0,,0,0,15.4,11.4,143.5,1011.1,8.3,2.3,201.8,17.4,7,,2015-02-24T06:25:07,2015-02-24T17:58:35,0.18,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,remote,41922099999,41939099999,41909099999"
bangladesh,2/25/2015,87.2,71.4,78.2,91.2,71.4,79.6,67.9,71.3,0.012,100,12.5,rain,0,0,14.3,9.2,146,1009,31.6,2,194.6,16.8,8,,2015-02-25T06:24:19,2015-02-25T17:59:05,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41941099999,41923099999,41929099999,remote,41922099999,41939099999,41909099999"
bangladesh,2/26/2015,89.6,71.1,80.1,92.3,71.1,81.1,67.7,68.5,0.004,100,4.17,rain,0,0,16.8,11.4,177,1008.2,37.9,2,213.5,18.6,7,,2015-02-26T06:23:29,2015-02-26T17:59:36,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VGHS,41941099999,41929099999,41923099999,remote,41922099999,41939099999,41909099999"
bangladesh,2/27/2015,91.4,72.8,80.6,93.2,72.8,81.8,67.8,66.9,0,0,0,,0,0,23.9,13.9,211.2,1008.8,21.9,2.4,231.2,20,8,,2015-02-27T06:22:39,2015-02-27T18:00:06,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
bangladesh,2/28/2015,89.6,73.4,80.5,90.5,73.4,81.5,67.2,66,0,0,0,,0,0,12.5,9.2,212.8,1010.9,2.3,2.4,241.6,20.8,8,,2015-02-28T06:21:48,2015-02-28T18:00:36,0.31,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,remote,41922099999,41939099999,41909099999"
bangladesh,3/1/2015,91.4,71.9,80.8,92.2,71.9,81.8,67.3,65.8,0.016,100,4.17,rain,0,0,13,9.2,3.9,1011.7,49.7,2.2,211,18.2,8,,2015-03-01T06:20:56,2015-03-01T18:01:05,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41941099999,41929099999,41923099999,remote,41922099999,41939099999,41909099999"
bangladesh,3/2/2015,91.4,71.6,80.7,93.2,71.6,82.1,67.7,67,0.004,100,4.17,rain,0,0,19.7,15,320.2,1011.5,45.4,2,232.2,20.1,8,,2015-03-02T06:20:03,2015-03-02T18:01:34,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41941099999,41929099999,41923099999,remote,41922099999,41939099999,41909099999"
bangladesh,3/3/2015,86,68,77.9,84.6,68,77.5,58.4,53.8,0,0,0,,0,0,15.9,11.4,300.2,1010.4,24,2.4,238.1,20.6,8,,2015-03-03T06:19:10,2015-03-03T18:02:02,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,remote,41922099999"
bangladesh,3/4/2015,77,71.6,73.2,77,71.6,73.2,64.6,74.6,0.264,100,37.5,rain,0,0,16.3,9.2,183.5,1010.6,55.5,1.9,100.9,8.8,4,,2015-03-04T06:18:17,2015-03-04T18:02:30,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VGHS,remote,41922099999"
bangladesh,3/5/2015,84.2,66.5,74.1,85,66.5,74.1,60.1,64.9,0.016,100,8.33,rain,0,0,16.1,11.4,328.8,1013,32.9,2.3,244,21.1,8,,2015-03-05T06:17:23,2015-03-05T18:02:58,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VGHS,remote,41922099999"
bangladesh,3/6/2015,84.2,62.6,71.3,82,62.6,71.2,56.5,61.9,0,0,0,,0,0,15.2,11.4,301.5,1014.3,3.5,2.4,264.3,22.8,9,,2015-03-06T06:16:28,2015-03-06T18:03:26,0.5,Clear,Clear conditions throughout the day.,clear-day,"VGHS,remote,41922099999"
bangladesh,3/7/2015,84.2,59.8,72.4,98,59.8,72.8,56,59.8,0,0,0,,0,0,14.8,9.2,339,1013.7,0,2.8,265,22.8,9,,2015-03-07T06:15:33,2015-03-07T18:03:53,0.55,Clear,Clear conditions throughout the day.,clear-day,"VGHS,remote,41922099999"
bangladesh,3/8/2015,87.8,62.3,76.1,84.9,62.3,75.7,55.9,53,0,0,0,,0,0,17.2,11.4,327.1,1013.8,1.2,2.4,265.9,22.9,9,,2015-03-08T06:14:37,2015-03-08T18:04:19,0.59,Clear,Clear conditions throughout the day.,clear-day,"VGHS,remote,41922099999"
bangladesh,3/9/2015,87.8,68,77.3,88.5,68,77.3,59,54.9,0,0,0,,0,0,16.8,13.9,314.7,1014.1,24.6,2.4,264.4,22.8,9,,2015-03-09T06:13:41,2015-03-09T18:04:46,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,remote,41922099999"
bangladesh,3/10/2015,91.4,65.2,78.4,91.4,65.2,78,58.6,54.6,0,0,0,,0,0,19.7,13.9,316.9,1013.8,11.6,2.4,266,23,9,,2015-03-10T06:12:44,2015-03-10T18:05:12,0.65,Clear,Clear conditions throughout the day.,clear-day,"VGHS,remote,41922099999"
bangladesh,3/11/2015,88.6,69.8,78.1,86,69.8,77.6,53.6,43.7,0,0,0,,0,0,17.9,13.9,320.5,1014.8,7,2.5,275.6,23.6,9,,2015-03-11T06:11:47,2015-03-11T18:05:38,0.69,Clear,Clear conditions throughout the day.,clear-day,"VGHS,remote,41922099999"
bangladesh,3/12/2015,89.6,66.2,76.2,87.8,66.2,75.8,54,47.4,0,0,0,,0,0,16.1,13.9,311.1,1014.5,4.6,2.6,280.1,24.2,9,,2015-03-12T06:10:50,2015-03-12T18:06:04,0.72,Clear,Clear conditions throughout the day.,clear-day,"VGHS,remote,41922099999"
bangladesh,3/13/2015,89.6,66.2,78.2,87.1,66.2,77.5,54.9,47.2,0,0,0,,0,0,14.8,10.3,302.6,1012.4,0,2.4,272,23.7,9,,2015-03-13T06:09:53,2015-03-13T18:06:29,0.75,Clear,Clear conditions throughout the day.,clear-day,"VGHS,remote,41922099999"
bangladesh,3/14/2015,91.4,71.6,80.2,88.7,71.6,79.4,56.6,47.6,0,0,0,,0,0,16.1,12.8,304.1,1013.2,1.2,2.4,267.9,23,9,,2015-03-14T06:08:55,2015-03-14T18:06:54,0.79,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
bangladesh,3/15/2015,93.2,73.4,82.7,91.4,73.4,82.1,58,45.7,0,0,0,,0,0,16.3,11.4,318.4,1013.9,9.3,2.5,265.8,23,9,,2015-03-15T06:07:56,2015-03-15T18:07:19,0.82,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
bangladesh,3/16/2015,91.4,73.4,80.5,89.5,73.4,79.8,57.4,47.2,0,0,0,,0,0,22.6,18.3,314.5,1014.9,28.1,2.7,260.7,22.8,9,,2015-03-16T06:06:58,2015-03-16T18:07:44,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,remote,41922099999"
